antecedents,antecedents_names,consequents,consequents_names,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
101009000754,AQUA MINERAL WATER 600ML,101067012071,RTE SALAD BUFFET PEPITO,0.08335901386748844,0.300924499229584,0.010477657935285054,0.1256931608133087,0.41769002236475855,1.0,-0.014607111569060851,0.7995768412617232,-0.6033163853165128,0.02802967848309975,-0.2506615354466887,0.08025569458996208
101016010907,CHICKEN BREAST BONELESS KG,101024011683,SUNPRIDE PISANG CAVENDISH,0.07087827426810478,0.212788906009245,0.007395993836671803,0.10434782608695652,0.490381890879325,1.0,-0.0076861166046614336,0.8789250078537556,-0.527968948758929,0.026770775237032904,-0.13775349553643612,0.06955262412240656
101024064912,FRUIT CUT 30K,101024011683,SUNPRIDE PISANG CAVENDISH,0.10801232665639446,0.212788906009245,0.017103235747303543,0.15834522111269614,0.7441422773507588,1.0,-0.005880589077423844,0.9353135201483378,-0.2782200905343323,0.05631659056316591,-0.06916021040880839,0.11936087992636979
101024064912,FRUIT CUT 30K,101067012071,RTE SALAD BUFFET PEPITO,0.10801232665639446,0.300924499229584,0.012788906009244993,0.11840228245363765,0.3934617578720473,1.0,-0.019714649300452757,0.7929642816182227,-0.633459458222402,0.0322831583041618,-0.2610908500938708,0.0804505011858562
101067012071,RTE SALAD BUFFET PEPITO,101026074480,RTE-P CHICKEN YAKITORI,0.300924499229584,0.09799691833590139,0.0362095531587057,0.12032770097286226,1.227872294518673,1.0,0.006719879582432139,1.0253853425436463,0.2654692621893743,0.09983007646559049,0.024756880648082683,0.2449122781593871
101026074480,RTE-P CHICKEN YAKITORI,101067012071,RTE SALAD BUFFET PEPITO,0.09799691833590139,0.300924499229584,0.0362095531587057,0.3694968553459119,1.227872294518673,1.0,0.006719879582432139,1.108758150847842,0.20574548044981059,0.09983007646559049,0.09809005756997319,0.2449122781593871
"101067012071, 101009000754","RTE SALAD BUFFET PEPITO, AQUA MINERAL WATER 600ML",101026074480,RTE-P CHICKEN YAKITORI,0.010477657935285054,0.09799691833590139,0.002003081664098613,0.19117647058823528,1.950841657417684,1.0,0.0009763034750629746,1.115203810057431,0.49256162709915435,0.018813314037626625,0.10330292007476033,0.10580836108028116
"101009000754, 101026074480","AQUA MINERAL WATER 600ML, RTE-P CHICKEN YAKITORI",101067012071,RTE SALAD BUFFET PEPITO,0.004006163328197226,0.300924499229584,0.002003081664098613,0.5,1.6615463389656937,1.0,0.0007975289707289393,1.398151001540832,0.3997524752475248,0.006612410986775177,0.28476967158915584,0.25332821300563235
"101024011683, 101026074480","SUNPRIDE PISANG CAVENDISH, RTE-P CHICKEN YAKITORI",101067012071,RTE SALAD BUFFET PEPITO,0.0036979969183359015,0.300924499229584,0.001386748844375963,0.37499999999999994,1.2461597542242702,1.0,0.00027393097357318705,1.1185208012326657,0.1982678626662542,0.004573170731707317,0.10596208948644471,0.18980414746543775
"101067012071, 101024064912","RTE SALAD BUFFET PEPITO, FRUIT CUT 30K",101026074480,RTE-P CHICKEN YAKITORI,0.012788906009244993,0.09799691833590139,0.002927580893682589,0.22891566265060243,2.335947563840267,1.0,0.0016743075158890887,1.1697852465331278,0.579317029893291,0.027142857142857142,0.1451422361808011,0.1293949382435402
"101024064912, 101026074480","FRUIT CUT 30K, RTE-P CHICKEN YAKITORI",101067012071,RTE SALAD BUFFET PEPITO,0.00662557781201849,0.300924499229584,0.002927580893682589,0.4418604651162791,1.4683432762952644,1.0,0.0009337822084942819,1.252510272213662,0.32108773562570925,0.009610520991401113,0.20160335433208093,0.22579454387406375
