BillNo,AQUA MINERAL WATER 600ML,AQUA MINERAL WATER 1500ML,CHICKEN BREAST BONELESS KG,SUNPRIDE PISANG CAVENDISH,FRUIT CUT 30K,RTE-P CHICKEN YAKITORI,RTE SALAD BUFFET PEPITO,BCC CAPPUCCINO,BCC ALMOND CROISSANT,BCC DONUT SPRINKLE
7C20020026848,False,False,False,False,False,False,True,False,False,False
7C20020026851,False,False,False,True,False,False,False,False,False,False
7C20020026855,False,False,False,True,False,False,False,False,False,False
7C20020026872,False,False,True,False,False,False,False,False,False,False
7C20020026875,False,False,False,True,False,False,False,False,False,False
7C20020026883,False,False,False,True,True,False,False,False,False,False
7C20020026886,False,False,False,False,False,True,False,False,False,False
7C20020026888,True,True,False,False,False,False,False,False,False,False
7C20020026894,False,False,False,False,True,False,False,False,False,False
7C20020026896,False,False,False,True,False,False,False,False,False,False
7C20020026902,False,False,False,True,False,False,False,False,False,False
7C20020026904,True,False,False,False,False,False,False,False,False,False
7C20020026906,False,False,False,False,False,False,True,False,False,False
7C20020026911,True,False,False,False,False,False,False,False,False,False
7C20020026915,False,False,False,True,False,False,False,False,False,False
7C20020026916,False,False,False,False,False,False,True,False,False,False
7C20020026917,False,False,False,False,False,True,False,False,False,False
7C20020026921,False,False,False,False,True,False,False,False,False,False
7C20020026932,False,False,False,False,False,False,True,False,False,False
7C20020026935,False,False,False,False,False,False,True,False,False,False
7C20020026936,False,False,False,True,False,False,False,False,False,False
7C20020026937,False,False,False,False,False,True,False,False,False,False
7C20020026940,False,False,False,False,False,False,True,False,False,False
7C20020026944,False,False,False,False,False,True,True,False,False,False
7C20020026948,False,False,False,False,False,True,False,False,False,False
7C20020026953,False,False,False,False,False,True,False,False,False,False
7C20020026956,False,False,False,False,True,False,False,False,False,False
7C20020026957,True,True,False,False,False,False,False,False,False,False
7C20020026961,False,False,True,False,False,False,False,False,False,False
7C20020026963,False,True,False,False,False,False,False,False,False,False
7C20020026967,False,False,False,False,False,False,True,False,False,False
7C20020026968,False,False,True,False,False,False,False,False,False,False
7C20020026970,False,False,False,False,True,False,False,False,False,False
7C20020026973,False,False,False,False,False,False,True,False,False,False
7C20020026979,False,False,False,False,False,False,True,False,False,False
7C20020026981,False,False,False,False,True,False,True,False,False,False
7C20020026983,False,False,False,False,False,True,False,False,False,False
7C20020026984,True,False,False,False,False,False,False,False,False,False
