itemsets,support
GRANOVA BARS NUTS & SEEDS 26GR,0.0010140646355980777
POKKA OOLONG TEA 450ML,0.0010140646355980777
BIOKUL YOGURT STIRRED STRAWBERRY 80ML,0.0010140646355980777
SQ CHUNKY CASHEW 1X16X12X26G,0.0010140646355980777
BAMBOE ASIA TOM YUM,0.0010140646355980777
SQ FRUIT AND NUTS 10X2X10X55G,0.0010140646355980777
SQ DARK CHOC 10X2X10X55G,0.0010140646355980777
POTABEE SELECTIONS SALTED EGG 68GR,0.0010140646355980777
SQ VERY BERRY 10X2X10X55 G,0.0010140646355980777
CP LAPIS LEGIT MINI,0.0010140646355980777
BLUEBERRIES JOYVIO 125GR,0.0010140646355980777
CADBURY DAIRY MILK 62GR/57GR,0.0010140646355980777
GREENFIELDS YOGURT PLAIN 125GR,0.0010140646355980777
PRWN PANCET 40 KG,0.0010140646355980777
YAVA GRANOLA CHOCOLATE BANANA 400GR,0.0010140646355980777
INDOMIE SOTO LAMONGAN 80GR,0.0010140646355980777
TARAS BOLEN COKLAT KEJU,0.0010140646355980777
KOPIKO CANDY CAPUCINO 105GR,0.0010140646355980777
TOMAT CHERRY RED HIDROPONIK 250GR,0.0010140646355980777
ARLA CREAM CHEESE NATURAL 150GR,0.0010140646355980777
SMIRNOFF GREEN APPLE 275ML,0.0010140646355980777
ROMA MALKIST BAG 8X27GR,0.0010140646355980777
PUCUK HARUM TEH 350ML,0.0010140646355980777
NEW BRUXEL ORIGINAL,0.0010140646355980777
SCHWEPPES GINGER ALE CAN 250ML,0.0010140646355980777
HEAVENLY BLUSH YOGURT GREEK HONEY 100GR,0.0010140646355980777
EO HERB ROSEMARY 30GR,0.0010140646355980777
KEWPIE SAUS SIRAM WIJEN SANGRAI 200GR,0.0010140646355980777
OASIS+ PH TINGGI 500ML,0.0010140646355980777
BIOKUL YOGURT STIRRED MANGO 80ML,0.0010140646355980777
BCC PAIN DE CAMPAGNE,0.0010140646355980777
FINNA SAMBAL TERASI 240GR,0.0010140646355980777
CHICKEN BREAST (DADA AYAM) KG,0.0010140646355980777
APEL AMBROSIA,0.0010140646355980777
OATSIDE OAT MILK BARISTA BLEND 1L,0.0010140646355980777
BEEF BONE / TULANG SAPI FROZEN KG,0.0010140646355980777
LEZZA SANTAN 65ML,0.0010581544023632115
SEDAAP MIE KOREAN SPICY 87GR,0.0010581544023632115
US BLACK ANGUS CHOICE SHORTPLATE KG,0.0010581544023632115
BIOKUL YOGURT TO GO MIXBERRY 80GR,0.0010581544023632115
YAVA CASHEW RAW 75GR,0.0010581544023632115
POKKA JASMINE GREEN TEA NO SUGAR BTL 450ML,0.0010581544023632115
ROSSA TELUR RENDAH KOLESTEROL 75% 10S,0.0010581544023632115
WALLS CORNETTO DISC OREO 120ML,0.0010581544023632115
BCC TRADITTIONAL TOAST EXTRA,0.0010581544023632115
ANCHOR MINIDISH BUTTER UNSALTED 10S,0.0010581544023632115
BELCUBE PARTY CUBE PLAIN 78GR,0.0010581544023632115
PEPITO LIGHTER (N),0.0010581544023632115
GREENFIELDS FRESH MILK CHOCOMALT 1LT,0.0010581544023632115
HEAVENLY BLUSH GREEK YOGURT ORIGINAL 300GR,0.0010581544023632115
NU YOGURT TEA 450ML,0.0010581544023632115
TERONG UNGU KG,0.0010581544023632115
NEW BRUXEL CHOCOLATE,0.0010581544023632115
POLARIS BITTER LEMON 330ML,0.0010581544023632115
FRENCH FRIES 155GR,0.0010581544023632115
JERUK AFOURER,0.0010581544023632115
MAMAS FRENCH SALAMI SLICE 100GR,0.0010581544023632115
HARIBO GOLDBEAR 160GR,0.0010581544023632115
PISANG AMBON,0.0010581544023632115
COLGATE TPASTE CHARCOAL DEEP CLEAN 60GR,0.0010581544023632115
SUPERSTAR BOX 6X18GR,0.0010581544023632115
ELLIPS MASK KERATIN 18GR,0.0010581544023632115
SAORI SAUS TIRAM 140ML,0.0010581544023632115
LIDAH BUAYA KG,0.0010581544023632115
CHICKEN HEAD WITH NECK (LEHER & KEPALA AYAM) KG,0.0010581544023632115
SQ GREEN TEA 10X2X10X55 G,0.0010581544023632115
IDEAL COTTON BUD PACK BB 100S (I-123),0.0010581544023632115
WORCAS CHOCOLATE BAR STRAWBERRY 90GR,0.0010581544023632115
BCC ADD ON ESPRESSO,0.0010581544023632115
E BCC STRAWBERRY TARTLETTE,0.0010581544023632115
BINTANG CRYSTAL CAN 500ML,0.0011022441691283453
BELLE SPREAD 250GR,0.0011022441691283453
CHICKEN INTESTINES (USUS AYAM) KG,0.0011022441691283453
Q-TELA BARBEQUE 185GR,0.0011022441691283453
BIOKUL YOG GREEK TOPPING COOKIES 100 GR,0.0011022441691283453
