APEL FUJI BLUSH PREMIUM,APEL FUJI RRC,APEL ROCKIT PACK,AROMA CHICKEN COCKTAIL SSG 250GR,BEBE URUTAN BABI ASAP 500 GR,BEST WOK MI GORENG KOREAN XTRA HOT 73GR,BEST WOK MIE GORENG ORIGINAL 85GR,BINTANG CRYSTAL CAN 320ML,BUNCIS KG,CHERRIES,CHITATO BEEF BBQ 68GR,CHITATO LITE NORI SEAWEED 68GR,COCONUT CLUSTERS GRANOLA CHOCOLATE MIX 100GR,COCONUT CLUSTERS GRANOLA ORIGINAL MIX 100GR,COCONUT COCO THUMB PCS,COUNTRY CHOICE JUICE MANGO 1LT,DELIMA IMPORT/POMEGRANATE,DETTOL SHOWERFOAM COOL REF 370ML,FUKUMI RICE BOX 280GR,GENTLEGEN PARISIENNE GARDEN 700ML,GOFRESS LITE MANGO BREEZE 24S,GRAPE GREEN MUSCAT 500 GR,GRAPE RED GLOBE RRC,HARIBO WORM 160GR,HELLO PANDA CHOCO 45GR,HELLO PANDA COOKIES&CREAM 45GR,HELLO PANDA DOUBLE CHOCO 42GR,HELLO PANDA STRAWBERRY 45GR,HELLO PANDA VANILA 45GR,JERUK AFOURER,KENTANG BESAR KG,KINDER BUENO CHOCO T-2,KOL PUTIH BULAT KG,MALIA CHICKEN BREAKFAST SSG 250GR,MISTER POTATO ORIGINAL 106GR,MUSHROOM CHAMPIGNON 250GR PACK,MUSHROOM ENOKI 100 GR,NANAS HONI SUNPRIDE MEDIUM 7S,PAN CASTILLO DE MAGNIA VINI BLANCO 750ML,PAN CASTILLO DE MAGNIA VINO TINTO 750ML,PEAR CENTURY,RASPBERRY ALL SEASON 170GR PACK,SOSRO TEH BOTOL REGULER 450ML,SUNCO OIL REFILL 2LT,SUNKIST NAVEL,SUNPRIDE PISANG CAVENDISH,TOMATO CHERRY RED HYDROPONIC 250GR,VANISH CAIR  REF 425ML
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
