,TRX_date,BillNo,ItemCode,ITEMLONGNAME,Quantity,UOM_CD,TotalAmt,NetValue,POS_FINAL_QTY
0,2025-07-01,7C20020026848,101067012071,RTE SALAD BUFFET PEPITO,0.428,KGS,64200.0,64200.0,0.428
1,2025-07-01,7C20020026851,101012008984,DIAMOND FRESH MILK PLAIN 300ML,1.0,PCS,12000.0,12000.0,1.0
2,2025-07-01,7C20020026851,101024011683,SUNPRIDE PISANG CAVENDISH,0.49,KGS,15925.0,15925.0,0.49
3,2025-07-01,7C20020026851,101023011362,BABY ROMANA LETTUCE KG,0.12,KGS,25800.0,25800.0,0.12
4,2025-07-01,7C20020026851,101023011355,SELADA KERITING HIJAU KG,0.1019,KGS,14062.2,14062.0,0.1019
5,2025-07-01,7C20020026851,101005073000,MADU URAY NATURAL 150GR,1.0,PCS,29500.0,29500.0,1.0
6,2025-07-01,7C20020026851,101024011708,MANGGA GEDONG GINCU,0.484,KGS,26378.0,26378.0,0.484
7,2025-07-01,7C20020026851,101007070415,B-WELL CHIA SEED 250GR,1.0,PCS,49000.0,49000.0,1.0
8,2025-07-01,7C20020026851,101012009096,CIMORY SET YOGURT LOW FAT 400GR,1.0,PCS,44500.0,44500.0,1.0
9,2025-07-01,7C20020026851,101044049382,MONTISS SOFTPACK 260S,1.0,PCS,14500.0,14500.0,1.0
10,2025-07-01,7C20020026855,101024011683,SUNPRIDE PISANG CAVENDISH,0.756,KGS,24570.0,24570.0,0.756
11,2025-07-01,7C20020026855,101009046398,LE MINERALE GALON 15 LT,1.0,PCS,25500.0,25500.0,1.0
12,2025-07-01,7C20020026872,101012009556,JUNGLE JUICE LEMON 500ML,1.0,PCS,20000.0,20000.0,1.0
13,2025-07-01,7C20020026872,101006002362,FINNA DIPPING FOR CHICKEN  BTL340ML,1.0,PCS,20000.0,20000.0,1.0
14,2025-07-01,7C20020026872,101016010907,CHICKEN BREAST BONELESS KG,0.998,KGS,70858.0,67315.0,0.998
15,2025-07-01,7C20020026872,101014009858,FINNA KULIT LUMPIA 40S BESAR,1.0,PCS,28500.0,28500.0,1.0
16,2025-07-01,7C20020026872,101002005394,VAN HOUTEN BAR FRUIT&NUT 40GR,1.0,PCS,19000.0,19000.0,1.0
17,2025-07-01,7C20020026872,101002032721,THE NATURAL SNAKES 190GR,1.0,PCS,67500.0,67500.0,1.0
18,2025-07-01,7C20020026875,101015038440,PALETAS MANGO STRAWBERRY,2.0,PCS,70000.0,70000.0,2.0
19,2025-07-01,7C20020026875,101009036502,PRIMA MINERAL WATER 1500ML,1.0,PCS,5500.0,5500.0,1.0
20,2025-07-01,7C20020026875,101003007398,MATAHARI KACANG BAWANG PUTIH 500GR,1.0,PCS,53500.0,53500.0,1.0
21,2025-07-01,7C20020026875,101006006633,POP MIE KARE 57GR,1.0,PCS,6000.0,6000.0,1.0
22,2025-07-01,7C20020026875,101024011683,SUNPRIDE PISANG CAVENDISH,0.818,KGS,26585.0,26585.0,0.818
23,2025-07-01,7C20020026875,101024011778,KIWI SUNGOLD PUNET 4S,1.0,PCS,99000.0,99000.0,1.0
24,2025-07-01,7C20020026875,101024011729,KIWI GOLDEN,0.7779,KGS,126019.8,126020.0,0.7779
25,2025-07-01,7C20020026875,101032012971,INSTO EYE DROP ED 7.5ML,1.0,PCS,24000.0,24000.0,1.0
26,2025-07-01,7C20020026875,101006073855,POP MIE GORENG RS INDOMIE 80GR,1.0,PCS,6000.0,6000.0,1.0
27,2025-07-01,7C20020026883,101013026948,MAMAS ROAST BLACK PEPPER 100GR,1.0,PCS,24000.0,24000.0,1.0
28,2025-07-01,7C20020026883,101013026945,MAMAS FRENCH PEPPER  SALAMI 100GR,1.0,PCS,31000.0,31000.0,1.0
29,2025-07-01,7C20020026883,101044049382,MONTISS SOFTPACK 260S,1.0,PCS,14500.0,14500.0,1.0
30,2025-07-01,7C20020026883,101006052518,KEWPIE MAYONAIS ORIGINAL 70GR,1.0,PCS,12000.0,12000.0,1.0
31,2025-07-01,7C20020026883,101023011607,TOMAT GONDOL MERAH KG,0.368,KGS,20608.0,20608.0,0.368
32,2025-07-01,7C20020026883,101024064912,FRUIT CUT 30K,2.0,PCS,60000.0,60000.0,2.0
33,2025-07-01,7C20020026883,101024011683,SUNPRIDE PISANG CAVENDISH,0.744,KGS,24180.0,24180.0,0.744
34,2025-07-01,7C20020026883,101003004602,MATAHARI KACANG 250GR,1.0,PCS,26000.0,26000.0,1.0
35,2025-07-01,7C20020026883,101024011746,APEL FUJI BLUSH PREMIUM,0.3459,KGS,34935.9,34936.0,0.3459
36,2025-07-01,7C20020026883,101026074491,RTE-P PORK BELLY KG,0.292,KGS,102200.0,102200.0,0.292
37,2025-07-01,7C20020026883,101033013733,PANTENE CONDITIONER PERFECT+ON 40ML,1.0,PCS,20500.0,16900.0,1.0
38,2025-07-01,7C20020026883,101044020879,PASEO ELEGAN KITHCEN TOWEL 70S 1PLY,1.0,PCS,16500.0,16500.0,1.0
39,2025-07-01,7C20020026883,101012070141,HAPPY COW GOUDA SLICE CHEESE 150G,1.0,PCS,46000.0,46000.0,1.0
40,2025-07-01,7C20020026883,101011008653,HW TWO ISLANDS SAUVIGNON BLANC 750ML,1.0,PCS,299000.0,299000.0,1.0
41,2025-07-01,7C20020026886,101026074480,RTE-P CHICKEN YAKITORI,2.0,PCS,40000.0,40000.0,2.0
42,2025-07-01,7C20020026886,101026074491,RTE-P PORK BELLY KG,0.316,KGS,110600.0,110600.0,0.316
43,2025-07-01,7C20020026886,101002005381,SQ CHUNKY BAR DARK 4X24X85G,1.0,PCS,29000.0,29000.0,1.0
44,2025-07-01,7C20020026886,101002005630,MELTING SWEET LYCHEE  HARD CANDY 125 GR,1.0,PCS,10500.0,8900.0,1.0
